field7,field8,error_code
AUTHNEGATIVE,15043 | DECLINED (stolen),E310      
AUTHNEGATIVE,CM90000 | Problem occured while validating xml message format,E1903     
AUTHNEGATIVE,74 | Authorisation declined by bank,E1903     
AUTHNEGATIVE,NPCI400 | NPCI400 - General Error,E500      
AUTHNEGATIVE,P1 | Over Daily Limit,E9246     
AUTHNEGATIVE,Blc|204 | Bad Input Data in Request|Bad CRYPTOGRAM value passed,E1703     
AUTHPOSITIVE,0 | Transaction Completed,E000      
AUTHPOSITIVE,00 | Successful approval/completion or that V.I.P. PIN verification is valid,E000      
AUTHNEGATIVE,57 | Transaction not permitted to issuer/cardholder,E1642     
AUTHNEGATIVE,FSS0001 | Authentication Not Available,E1903     
AUTHNEGATIVE,61 | Authorisation declined by bank,E909      
AUTHNEGATIVE,93 | Transaction cannot be completed; violation of law | Transaction cannot be completed; violation of law,E325      
AUTHNEGATIVE,57 | Transaction not permitted to issuer/cardholder | Decline - Inactive card or card not authorized for card-not-present transactions.,E1642     
AUTHNEGATIVE,"93 | Transaction cannot be completed, violation of law",E325      
AUTHNEGATIVE,RREQ_NOT_RECEIVED,E199      
AUTHNEGATIVE,46 | Closed account | Decline - Inactive card or card not authorized for card-not-present transactions.,E717      
AUTHNEGATIVE,155007 | Blocked first used-transaction from new cardholder and card not properly unblocked,E1903     
AUTHNEGATIVE,13 | Invalid amount | Invalid amt or Currency conversion field overflow,E715      
AUTHNEGATIVE,19 | Re-enter Transaction | Decline - General decline of the card. No other information provided by the issuing bank.,E345      
AUTHNEGATIVE,51 | Authorisation declined by bank,E706      
AUTHNEGATIVE,13 | Invalid amount,E715      
AUTHNEGATIVE,15054 | card expired,E311      
AUTHNEGATIVE,N7 | Authorisation declined by bank,E1632     
AUTHNEGATIVE,05 | Authorisation declined by bank,E307      
AUTHNEGATIVE,1 | AUTHORIZATION_FAILED_BY_BANK,E311      
AUTHNEGATIVE,H | UNKNOWN,E500      
AUTHNEGATIVE,Q1 | UNKNOWN,E500      
AUTHNEGATIVE,DECLINED | DECISION_PROFILE_REJECT | The order has been rejected by Decision Manager,E1903     
AUTHNEGATIVE,N0 | Unable to Authorise,E9240     
AUTHNEGATIVE,Authorise Failure : 61 : DECLINED (Exceeds withdrawal amount limit),E1903     
AUTHNEGATIVE,15043 | transaction declined because card is stolen,E310      
AUTHNEGATIVE,03 | Invalid Merchant | Decline - General decline of the card. No other information provided by the issuing bank.,E341      
AUTHNEGATIVE,"96 | System malfunction, System malfunction or certain field error conditions",E4158     
AUTHNEGATIVE,NPCI93 | NPCI93 - Ecommerce Not Enabled,E500      
AUTHNEGATIVE,62 | Restricted card | Decline - Invalid Card Verification Number (CVN).,E1626     
AUTHNEGATIVE,PY20014 | Invalid user defined field,E1903     
AUTHNEGATIVE,001 | Shop is in REFUND_ONLY mode. Transactions are not allowed.,E1903     
AUTHNEGATIVE,63 | Authorisation declined by bank,E312      
AUTHNEGATIVE,NPCI450 | NPCI450 - INVALID OTP,E500      
AUTHNEGATIVE,07 | Authorisation declined by bank,E310      
AUTHNEGATIVE,41 | Lost Card,E1703     
AUTHNEGATIVE,16010 | Compliance error code for acquirer,E1903     
AUTHNEGATIVE,GW00160 | Brand not enabled,E1903     
AUTHNEGATIVE,Card authentication failed,E317      
AUTHNEGATIVE,IPAY0100120 - Transaction denied due to invalid payment instrument for brand data.,E1903     
AUTHNEGATIVE,75 | Allowable number of PIN tries exceeded,E708      
AUTHNEGATIVE,OTPCAN | User Pressed Cancel Button,E502      
AUTHNEGATIVE,D1 | UNKNOWN,E500      
AUTHNEGATIVE,2032 | UNKNOWN,E500      
AUTHNEGATIVE,CA | Acquirer compliance | We encountered a problem with Rupay processor: Acquirer compliance,E1642     
AUTHNEGATIVE,13004 | Issuer Declined | Issuer Declined,E329      
AUTHNEGATIVE,DUE | Charge status: DUE,E1903     
AUTHNEGATIVE,50655 | Unable to verify card enrollment,E231      
AUTHNEGATIVE,IPAY0100293 | Transaction denied due to duplicate Merchant trackid,E1903     
AUTHNEGATIVE,13008 | Suspected fraud,E231      
AUTHNEGATIVE,10024 | Invalid Merchant Id,E1101     
AUTHERROR,Cancel api failed with response decision as  and reason code ,E231      
AUTHNEGATIVE,53 | No Savings Account | We encountered a problem with Rupay processor: No savings account,E707      
AUTHNEGATIVE,10004 | Could not get the proper response from NPCI,E1617     
AUTHERROR,,E000      
AUTHNEGATIVE,E3 | ARQC validation failed by Issuer,E9233     
AUTHNEGATIVE,"10024 | duplicate request, another txn already processing with same details",E000      
AUTHNEGATIVE,57 | DECLINED (cardholder not allowed),E1642     
AUTHNEGATIVE,43 | Authorisation declined by bank,E310      
AUTHNEGATIVE,CM90000 | CM90000-Problem occured during transaction.,E500      
AUTHNEGATIVE,Checkbin Failure,E1903     
AUTHNEGATIVE,001 | Field [amount] with value [75] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,50655 | Unable to verify card enrollment,E1903     
AUTHNEGATIVE,,
AUTHNEGATIVE,04,E310      
AUTHNEGATIVE,10004 | INTERNAL_SERVER_ERROR,E000      
AUTHNEGATIVE,Blc|204 | Invalid cvv,E1703     
AUTHNEGATIVE,72 | Authorisation declined by bank,E1903     
AUTHNEGATIVE,51 | Retry the transaction later,E1206     
AUTHERROR,50021 | Bad pg_instance_id(null) passed!,E1903     
AUTHNEGATIVE,2032 | Error - General system failure,E309      
AUTHNEGATIVE,61,E909      
AUTHNEGATIVE,001 | Field [amount] with value [7] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHNEGATIVE,"10024 | Couldn't verify the card, card number seems to be invalid",E231      
AUTHNEGATIVE,155009,E214      
AUTHERROR,50308 | Wrong transaction state,E000      
AUTHNEGATIVE,001 | Shop 77299288 has been closed.,E1903     
AUTHNEGATIVE,10024 | amount string should not be 0 or contain negative values,E1703     
AUTHNEGATIVE,99 | Authorisation declined by bank,E9231     
AUTHNEGATIVE,INVALID_REQUEST | Value 'AUTHORIZE' is invalid. Authorization request not permitted for this merchant.,E1903     
AUTHNEGATIVE,92 | Destination cannot be found for routing / Unable to route transa,E225      
AUTHNEGATIVE,10024 | pgTransactionId must not be null,E1101     
AUTHNEGATIVE,001 | Field [amount] with value [20] has been rejected. Cause: Amount should be numeric and at least 100,E1903     
AUTHPOSITIVE,No Error,
AUTHNEGATIVE,53 | No savings account,E707      
AUTHNEGATIVE, | INVALID_REQUEST ,E1206     
AUTHNEGATIVE,10024 | This Card type is not allowed !!,E1101     
AUTHNEGATIVE,72 | UNKNOWN,E500      
AUTHERROR,,E1617     
